level,id,parent_id,flags,label_en,label_fr,def_en,def_fr
L2,medtop:20000646,medtop:11000000,missing_def_fr;fr_def_missing_en_present,non-governmental organisation (NGO),Organisation non gouvernementale,"Groups officially outside of government that lobby, demonstrate or campaign on a wide range of issues such as economics, the environment and healthcare",
L2,medtop:20000647,medtop:11000000,missing_def_fr;fr_def_missing_en_present,political crisis,Crise politique,"Conflict that rises to a level where, depending on events, governments can fall etc",
L2,medtop:20000648,medtop:11000000,missing_def_fr;fr_def_missing_en_present,political prisoners and dissenters,Dissidence,Individuals who put themselves at risk by expressing their political views and the imprisonment of individuals who speak out against a political authority,
L2,medtop:20000649,medtop:11000000,missing_def_fr;fr_def_missing_en_present,political process,Participation politique,"The art or science of participating in the affairs of government, a state of political party",
L1,medtop:12000000,,missing_def_fr;fr_def_missing_en_present,religion,Religion et croyance,"Belief systems, institutions and people who provide moral guidance to followers",
L2,medtop:20000657,medtop:12000000,missing_def_fr;fr_def_missing_en_present,belief systems,Croyances,A set of beliefs prescribed by an institution or text often focusing on the worship of a higher power and the outlining of moral guidelines,
L2,medtop:20000687,medtop:12000000,missing_def_fr;fr_def_missing_en_present,interreligious dialogue,Dialogue interreligieux,Any form of communication between religions,
L2,medtop:20000688,medtop:12000000,missing_def_fr;fr_def_missing_en_present,religious conflict,Conflit religieux,Conflicts involving religious differences,
L2,medtop:20000689,medtop:12000000,missing_def_fr;fr_def_missing_en_present,religious event,Événement religieux,News regarding a religious event but not a festival or holiday,
L2,medtop:20000690,medtop:12000000,missing_def_fr;fr_def_missing_en_present,religious festival and holiday,Fête religieuse,Holy day or period of observance in a religion which is sometimes a public holiday,
L2,medtop:20000696,medtop:12000000,missing_def_fr;fr_def_missing_en_present,religious ritual,Rites religieux,"Established religious rituals such as mass, baptism, prayer meetings and bar and bat mitzvah",
L2,medtop:20000697,medtop:12000000,missing_def_fr;fr_def_missing_en_present,religious facility,Établissement religieux,Any facility where a group carries out its religious rites,
L2,medtop:20000702,medtop:12000000,missing_def_fr;fr_def_missing_en_present,relations between religion and government,Relations entre les institutions religieuses et l'Etat,"Matters arising from the relationship between religions and a government, including the question of whether churches should pay taxes, the push to keep religion out of publicly funded institutions and the freedom, or lack of to wear religious symbols in a school setting",
L2,medtop:20000703,medtop:12000000,missing_def_fr;fr_def_missing_en_present,religious leader,Chefs religieux,"Person or persons who have a ritual, juridical or otherwise leading role in their respective church or religion",
L2,medtop:20000705,medtop:12000000,missing_def_fr;fr_def_missing_en_present,religious text,Textes religieux,Texts regarded as holy or important by a religion,
L1,medtop:14000000,,missing_def_fr;fr_def_missing_en_present,society,Société,"The concerns, issues, affairs and institutions relevant to human social interactions, problems and welfare, such as poverty, human rights and family planning",
L2,medtop:20000587,medtop:14000000,missing_def_fr;fr_def_missing_en_present,fundamental rights,Droits fondamentaux,"The political, social, cultural and economic rights to which all people are entitled, usually upheld by law",
L2,medtop:20000768,medtop:14000000,missing_def_fr;fr_def_missing_en_present,communities,Communauté,A group of individuals actively sharing a common value or interest,
